Time,Source,Destination,Protocol,Country,Region,City,Org,Longitude,Latitude,Connection,Length,ARTT
2024-08-25 22:58:29,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4005:4::7,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,75244,16
2024-08-25 22:58:29,2a00:1450:4001:80b::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,DE,Hesse,Frankfurt am Main,AS15169 Google LLC,8.6842,50.1155,Cable,3333,16
2024-08-25 22:58:29,2a00:1450:4005:4::7,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,NL,Groningen,Groningen,AS15169 Google LLC,6.5667,53.2192,Cable,9872191,16
2024-08-25 22:58:30,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4005:4::7,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,18516,15
2024-08-25 22:58:30,2a00:1450:4005:4::7,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,NL,Groningen,Groningen,AS15169 Google LLC,6.5667,53.2192,Cable,2424853,15
2024-08-25 22:58:34,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2600:1901:1:566::,TCP,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,86,17
2024-08-25 22:58:34,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2600:1901:1:566::,TLSv1.2,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,129,17
2024-08-25 22:58:34,2600:1901:1:566::,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,TCP,US,California,Mountain View,AS396982 Google LLC,-122.0775,37.4056,Cable,86,17
2024-08-25 22:58:34,2600:1901:1:566::,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,TLSv1.2,US,California,Mountain View,AS396982 Google LLC,-122.0775,37.4056,Cable,126,16
2024-08-25 22:58:36,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80c::200a,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,95,17
2024-08-25 22:58:36,2a00:1450:4016:80c::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,CH,Zurich,Zürich,AS15169 Google LLC,8.55,47.3667,Cable,143,16
2024-08-25 22:58:42,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80c::200a,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,191,16
2024-08-25 22:58:42,2a00:1450:4016:80c::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,CH,Zurich,Zürich,AS15169 Google LLC,8.55,47.3667,Cable,282,16
2024-08-25 22:58:45,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4001:830::2001,ICMPv6,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,137,17
2024-08-25 22:58:45,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4001:830::2001,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,12294,16
2024-08-25 22:58:45,2a00:1450:4001:830::2001,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,DE,Hesse,Frankfurt am Main,AS15169 Google LLC,8.6842,50.1155,Cable,26957,15
2024-08-25 22:58:46,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4001:830::2001,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,21987,16
2024-08-25 22:58:46,2a00:1450:4001:830::2001,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,DE,Hesse,Frankfurt am Main,AS15169 Google LLC,8.6842,50.1155,Cable,54432,15
2024-08-25 22:58:47,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4001:830::2001,ICMPv6,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,137,16
2024-08-25 22:58:47,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4001:830::2001,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,8177,15
2024-08-25 22:58:47,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80c::200a,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,96,16
2024-08-25 22:58:47,2a00:1450:4001:830::2001,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,DE,Hesse,Frankfurt am Main,AS15169 Google LLC,8.6842,50.1155,Cable,28395,15
2024-08-25 22:58:47,2a00:1450:4016:80c::200a,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,CH,Zurich,Zürich,AS15169 Google LLC,8.55,47.3667,Cable,141,17
2024-08-25 22:58:48,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4005:4::7,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,10109,15
2024-08-25 22:58:48,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:809::200e,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,3857,15
2024-08-25 22:58:48,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:80a::2003,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,8057,16
2024-08-25 22:58:48,2a00:1450:4005:4::7,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,NL,Groningen,Groningen,AS15169 Google LLC,6.5667,53.2192,Cable,930368,16
2024-08-25 22:58:48,2a00:1450:4016:809::200e,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,US,California,San Francisco,AS15169 Google LLC,-122.4194,37.7749,Cable,2434,16
2024-08-25 22:58:48,2a00:1450:4016:80a::2003,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,CH,Zurich,Zürich,AS15169 Google LLC,8.55,47.3667,Cable,7734,15
2024-08-25 22:58:49,192.168.178.20,35.186.224.45,TCP,DE,Bavaria,Munich,Deutsche Telekom,48.12979433960958,11.583302258050129,Cable,66,16
2024-08-25 22:58:49,192.168.178.20,35.186.224.45,TLSv1.2,DE,Bavaria,Munich,Deutsche Telekom,48.12979433960958,11.583302258050129,Cable,94,16
2024-08-25 22:58:49,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4005:4::7,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,83713,15
2024-08-25 22:58:49,2a00:1450:4005:4::7,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,NL,Groningen,Groningen,AS15169 Google LLC,6.5667,53.2192,Cable,10977094,16
2024-08-25 22:58:49,35.186.224.45,192.168.178.20,TLSv1.2,US,Missouri,Kansas City,AS15169 Google LLC,-94.5786,39.0997,Cable,90,16
2024-08-25 22:58:50,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4005:4::7,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,70459,15
2024-08-25 22:58:50,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4016:809::200e,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,1206,16
2024-08-25 22:58:50,2a00:1450:4005:4::7,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,NL,Groningen,Groningen,AS15169 Google LLC,6.5667,53.2192,Cable,9203435,16
2024-08-25 22:58:50,2a00:1450:4016:809::200e,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,QUIC,US,California,San Francisco,AS15169 Google LLC,-122.4194,37.7749,Cable,222,16
2024-08-25 22:58:50,fe80::b2f2:8ff:fe17:5b89,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,ICMPv6,DE,Bavaria,Munich,Deutsche Telekom,48.12979433960958,11.583302258050129,Cable,86,16
2024-08-25 22:58:51,2003:ec:2727:4a00:f96e:1dc0:3171:ed67,2a00:1450:4005:4::7,QUIC,DE,Berlin,Berlin,AS3320 Deutsche Telekom AG,13.4105,52.5244,Cable,43274,15
