Time,Length,ARTT,Status
2024-07-07 08:04:32,1320,31,0
2024-07-07 08:04:32,756,27,0
2024-07-07 08:04:32,305894,40,0
2024-07-07 08:04:32,316503,40,0
2024-07-07 08:04:33,3480,32,0
2024-07-07 08:04:33,665670,40,0
2024-07-07 08:04:33,858190,40,0
2024-07-07 08:04:46,80,38,0
2024-07-07 08:04:46,40,70,1
2024-07-07 08:04:46,64,70,1
2024-07-07 08:04:52,40,30,0
2024-07-07 08:04:52,3090,28,0
2024-07-07 08:04:52,240,37,0
2024-07-07 08:04:52,1671,37,0
2024-07-07 08:05:05,4000,33,0
2024-07-07 08:05:05,756,27,0
2024-07-07 08:05:05,40,30,0
2024-07-07 08:05:05,557806,40,0
2024-07-07 08:05:05,816605,40,0
2024-07-07 08:05:06,11880,31,0
2024-07-07 08:05:06,1518,27,0
2024-07-07 08:05:06,380,32,0
2024-07-07 08:05:06,1538,56,1
2024-07-07 08:05:06,2382736,40,0
2024-07-07 08:05:06,3049714,40,0
2024-07-07 08:05:06,40056,70,1
2024-07-07 08:05:06,52151,70,1
2024-07-07 08:05:07,8840,33,0
2024-07-07 08:05:07,2276,39,0
2024-07-07 08:05:07,1120,33,0
2024-07-07 08:05:07,752,46,1
2024-07-07 08:05:07,1854619,40,0
2024-07-07 08:05:07,2462837,40,0
2024-07-07 08:05:07,89938,70,1
2024-07-07 08:05:07,113884,70,1
2024-07-07 08:05:08,17160,32,0
2024-07-07 08:05:08,762,31,0
2024-07-07 08:05:08,3396170,40,0
2024-07-07 08:05:08,4294099,40,0
2024-07-07 08:05:09,12960,32,0
2024-07-07 08:05:09,758,28,0
2024-07-07 08:05:09,3118614,40,0
2024-07-07 08:05:09,4035102,40,0
2024-07-07 08:05:10,18720,32,0
2024-07-07 08:05:10,756,30,0
2024-07-07 08:05:10,720,29,0
2024-07-07 08:05:10,752,35,0
2024-07-07 08:05:10,3856634,40,0
2024-07-07 08:05:10,5025312,40,0
2024-07-07 08:05:10,68044,70,1
2024-07-07 08:05:10,68163,70,1
2024-07-07 08:05:11,13680,32,0
2024-07-07 08:05:11,1514,28,0
2024-07-07 08:05:11,2824404,40,0
2024-07-07 08:05:11,3730089,40,0
2024-07-07 08:05:12,19640,32,0
2024-07-07 08:05:12,3776788,40,0
2024-07-07 08:05:12,4678392,40,0
2024-07-07 08:05:13,12360,33,0
2024-07-07 08:05:13,3030,30,0
2024-07-07 08:05:13,960,36,0
2024-07-07 08:05:13,754,27,0
2024-07-07 08:05:13,2281562,40,0
2024-07-07 08:05:13,2879515,40,0
2024-07-07 08:05:13,72774,70,1
2024-07-07 08:05:13,91993,70,1
2024-07-07 08:05:14,8680,32,0
2024-07-07 08:05:14,758,27,0
2024-07-07 08:05:14,840,29,0
2024-07-07 08:05:14,752,62,1
2024-07-07 08:05:14,1614010,40,0
2024-07-07 08:05:14,2116187,40,0
2024-07-07 08:05:14,77132,70,1
2024-07-07 08:05:14,96407,70,1
2024-07-07 08:05:52,40,27,0
2024-07-07 08:05:52,3076,27,0
2024-07-07 08:05:52,200,37,0
2024-07-07 08:05:52,1599,37,0
2024-07-07 08:05:59,10560,32,0
2024-07-07 08:05:59,2280,29,0
2024-07-07 08:05:59,2041994,40,0
2024-07-07 08:05:59,2616222,40,0
2024-07-07 08:06:00,15480,32,0
2024-07-07 08:06:00,1518,27,0
2024-07-07 08:06:00,760,34,0
2024-07-07 08:06:00,754,42,0
2024-07-07 08:06:00,2951142,40,0
2024-07-07 08:06:00,3769173,40,0
2024-07-07 08:06:00,66230,70,1
2024-07-07 08:06:00,74560,70,1
2024-07-07 08:06:01,21400,33,0
2024-07-07 08:06:01,760,27,0
2024-07-07 08:06:01,4068346,40,0
2024-07-07 08:06:01,5088688,40,0
2024-07-07 08:06:02,19640,32,0
2024-07-07 08:06:02,760,27,0
2024-07-07 08:06:02,3866926,40,0
2024-07-07 08:06:02,4946953,40,0
2024-07-07 08:06:03,19400,33,0
2024-07-07 08:06:03,756,29,0
2024-07-07 08:06:03,800,30,0
2024-07-07 08:06:03,750,27,0
2024-07-07 08:06:03,3905849,40,0
2024-07-07 08:06:03,5106391,40,0
2024-07-07 08:06:03,65916,70,1
2024-07-07 08:06:03,87404,70,1
2024-07-07 08:06:04,16800,32,0
2024-07-07 08:06:04,1514,28,0
2024-07-07 08:06:04,3297322,40,0
2024-07-07 08:06:04,4353343,40,0
2024-07-07 08:06:05,11480,33,0
2024-07-07 08:06:05,2297152,40,0
2024-07-07 08:06:05,3108514,40,0
2024-07-07 08:06:50,5360,32,0
2024-07-07 08:06:50,760,27,0
2024-07-07 08:06:50,1070318,40,0
2024-07-07 08:06:50,1473983,40,0
2024-07-07 08:06:51,10560,33,0
2024-07-07 08:06:51,3034,38,0
2024-07-07 08:06:51,720,29,0
2024-07-07 08:06:51,754,29,0
2024-07-07 08:06:51,2155974,40,0
2024-07-07 08:06:51,2868661,40,0
2024-07-07 08:06:51,60050,70,1
2024-07-07 08:06:51,78954,70,1
2024-07-07 08:06:52,11320,32,0
2024-07-07 08:06:52,3032,27,0
2024-07-07 08:06:52,80,28,0
2024-07-07 08:06:52,3090,30,0
2024-07-07 08:06:52,840,31,0
2024-07-07 08:06:52,752,31,0
2024-07-07 08:06:52,2087320,40,0
2024-07-07 08:06:52,2659251,40,0
2024-07-07 08:06:52,200,37,0
2024-07-07 08:06:52,1716,37,0
2024-07-07 08:06:52,69542,70,1
2024-07-07 08:06:52,84963,70,1
2024-07-07 08:06:53,6200,31,0
2024-07-07 08:06:53,1217040,40,0
2024-07-07 08:06:53,1534933,40,0
2024-07-07 08:07:46,4840,32,0
2024-07-07 08:07:46,760,32,0
2024-07-07 08:07:46,999554,40,0
2024-07-07 08:07:46,1273140,40,0
2024-07-07 08:07:47,20360,31,0
2024-07-07 08:07:47,756,30,0
2024-07-07 08:07:47,720,34,0
2024-07-07 08:07:47,750,29,0
2024-07-07 08:07:47,3822760,40,0
2024-07-07 08:07:47,5000550,40,0
2024-07-07 08:07:47,63870,70,1
2024-07-07 08:07:47,83576,70,1
2024-07-07 08:07:48,16880,32,0
2024-07-07 08:07:48,758,30,0
2024-07-07 08:07:48,3352648,40,0
2024-07-07 08:07:48,4578164,40,0
2024-07-07 08:07:49,14400,33,0
2024-07-07 08:07:49,2272,29,0
2024-07-07 08:07:49,2892684,40,0
2024-07-07 08:07:49,3749746,40,0
2024-07-07 08:07:50,17000,33,0
2024-07-07 08:07:50,758,27,0
2024-07-07 08:07:50,680,33,0
2024-07-07 08:07:50,752,29,0
2024-07-07 08:07:50,3300064,40,0
2024-07-07 08:07:50,4275081,40,0
2024-07-07 08:07:50,61934,70,1
2024-07-07 08:07:50,84903,70,1
2024-07-07 08:07:51,11880,32,0
2024-07-07 08:07:51,1512,30,0
2024-07-07 08:07:51,2055790,40,0
2024-07-07 08:07:51,2603087,40,0
2024-07-07 08:07:52,10240,33,0
2024-07-07 08:07:52,3028,36,0
2024-07-07 08:07:52,40,27,0
2024-07-07 08:07:52,3091,29,0
2024-07-07 08:07:52,720,31,0
2024-07-07 08:07:52,752,30,0
2024-07-07 08:07:52,1875748,40,0
2024-07-07 08:07:52,2387662,40,0
2024-07-07 08:07:52,160,37,0
2024-07-07 08:07:52,1641,37,0
2024-07-07 08:07:52,70172,70,1
2024-07-07 08:07:52,89628,70,1
2024-07-07 08:07:53,15160,33,0
2024-07-07 08:07:53,1514,31,0
2024-07-07 08:07:53,3022050,40,0
2024-07-07 08:07:53,3956036,40,0
2024-07-07 08:07:54,17360,32,0
