"No.","Time","Source","Destination","Protocol","Length","Info"
"176","8.304070370","142.251.0.109","192.168.0.3","TLSv1.3","94","Application Data"
"177","8.304141706","192.168.0.3","142.251.0.109","TLSv1.3","142","Application Data"
"178","8.339026779","2800:3f0:4004:812::200e","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","QUIC","1288","Protected Payload (KP0)"
"179","8.339026949","2800:3f0:4004:812::200e","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","QUIC","621","Protected Payload (KP0)"
"180","8.339230617","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2800:3f0:4004:812::200e","QUIC","97","Protected Payload (KP0), DCID=efd035ec41027987"
"181","8.339265183","2800:3f0:4004:812::200e","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","QUIC","83","Protected Payload (KP0)"
"182","8.354734828","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"183","8.365768848","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","2800:3f0:4004:812::200e","QUIC","94","Protected Payload (KP0), DCID=efd035ec41027987"
"184","8.401637464","2800:3f0:4004:812::200e","2804:29b8:508f:79a1:b81a:574c:cd96:8cb0","QUIC","85","Protected Payload (KP0)"
"185","8.415027770","142.251.0.109","192.168.0.3","TCP","66","465  >  54712 [ACK] Seq=5052 Ack=776 Win=268800 Len=0 TSval=1817054080 TSecr=2822368528"
"186","8.720033530","142.251.0.109","192.168.0.3","TLSv1.3","108","Application Data"
"187","8.720142077","192.168.0.3","142.251.0.109","TLSv1.3","121","Application Data"
"188","8.830902441","142.251.0.109","192.168.0.3","TCP","66","465  >  54712 [ACK] Seq=5094 Ack=831 Win=268800 Len=0 TSval=1817054496 TSecr=2822368944"
"189","8.993667146","142.251.0.109","192.168.0.3","TLSv1.3","151","Application Data"
"190","8.993798937","192.168.0.3","142.251.0.109","TLSv1.3","119","Application Data"
"191","9.102647942","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"192","9.104919176","142.251.0.109","192.168.0.3","TCP","66","465  >  54712 [ACK] Seq=5179 Ack=884 Win=268800 Len=0 TSval=1817054770 TSecr=2822369218"
"193","9.105738927","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"194","9.167296206","fe80::6283:e7ff:fec1:a006","ff02::1","ICMPv6","150","Router Advertisement from 60:83:e7:c1:a0:06"
"195","9.266178745","142.251.0.109","192.168.0.3","TLSv1.3","151","Application Data"
"196","9.266288504","192.168.0.3","142.251.0.109","TLSv1.3","94","Application Data"
"197","9.377898636","142.251.0.109","192.168.0.3","TCP","66","465  >  54712 [ACK] Seq=5264 Ack=912 Win=268800 Len=0 TSval=1817055043 TSecr=2822369490"
"198","9.618742518","fe80::4e92:db4e:ce31:773d","ff02::16","ICMPv6","150","Multicast Listener Report Message v2"
"199","9.672156422","142.251.0.109","192.168.0.3","TLSv1.3","151","Application Data"
"200","9.672289545","192.168.0.3","142.251.0.109","TLSv1.3","786","Application Data"
"201","9.672315945","192.168.0.3","142.251.0.109","TLSv1.3","93","Application Data"
